id,name,note
378,倉成英俊＆三浦北斗＆草柳夏来,
379,大滝詠一,
380,奥田民生,
381,TONINHOHORTA,
382,PADDY MOLONEY＆矢野顕子,
383,THECHIEFTANS&矢野顕子,
384,Yoshinori Ohashi,
385,LEONARD BORISOFF&JOHN MADARA&DAVID WHITE,
386,LEONARD BORISOFF,
387,GIULIOCAMASSI,
388,大友良英,
389,多羅尾伴内,
390,村下孝蔵,
391,町支寛二,
392,阿木燿子,
393,ジュディ・オング,
394,伊達歩,
395,大谷和夫,
396,近藤真彦,
397,土屋昌巳,
398,一風堂,
399,森山達也,
400,"Joey Carbone
日本語詞：売野雅勇",
401,Joey Carbone,
402,シブがき隊,
403,翔,
404,横浜銀蝿・若草恵,
405,紅麗威甦,
406,茂木由多加,
407,早見優,
408,細野晴臣,
409,スターボー,
410,宇崎竜童,
411,大沢逸美,
412,吉幾三,
413,野村豊,
414,三浦百恵,
415,沢田研二,
416,伊藤銀次,
417,アン・ルイス,
418,有川正沙子,
419,和泉常寛,
420,新川博,
421,1986 オメガトライブ,
422,佐野元春,
423,水谷麻里,
424,新田恵利,
425,瀬井広明,
426,国生さゆり with おニャン子クラブ,
427,高橋研,
428,おニャン子クラブ,
429,来生えつこ,
430,来生たかお,
431,薬師丸ひろ子,
432,原田知世,
433,武部聡志,
434,斉藤由貴,
435,奈良橋陽子・山川啓介,
436,タケカワユキヒデ,
437,ミッキー吉野,
438,ゴダイゴ,
439,細野晴臣・坂本龍一・高橋幸宏,
440,YMO,
441,イモ欽トリオ,
442,忌野清志郎+坂本龍一,
443,康珍化,
444,佐久間正英,
445,小泉今日子,
446,中森明菜,
447,鷺巣詩郎,
448,松本伊代,
449,河合その子,
450,売野雅勇,
451,芹澤廣明,
452,チェッカーズ,
453,NOBODY,
454,大村雅朗,
455,吉川晃司,
456,大沢誉志幸,
457,山下久美子,
458,森雪之丞,
459,クラッシュギャルズ,
460,加瀬邦彦,
461,セイントフォー,
462,Eilleen,
463,都倉俊一,
464,John D'andrea・David Wheatly,
465,少女隊,
466,藤井一子,
467,吉実明弘,
468,荻野目洋子,
469,細井豊,
470,太田裕美,
471,名倉七海,
472,細井勇作,
473,我那覇美奈,
474,モリユイウエノハラ,
475,しなまゆ,
476,池田聡,
477,木本浩之,
478,SHINO from WORLD WONDERφ,
479,MICHIKA,
480,イルカ,
481,土方英司 from Luster Gloss,
482,土方英司,
483,オプチミシン feat.MIKI-LOW,
484,山下達郎,
485,服部克久,
486,後藤勇一郎,
487,"Edith Piaf
Mack David",
488,Pierre Louiguy,
489,吉田美奈子,
490,ALAN O'DAY,
491,浜田省吾,
492,伊藤銀次・山下達郎,
493,飛鳥涼,
494,飛鳥涼・THE ALPHA・瀬尾一三,
495,澤地隆,
496,CHAGE,
497,Light House Project,
498,秋谷銀四郎,
499,西平彰,
500,西平彰・十川知司,
501,十川知司,
502,飛鳥涼・BLACK EYES,
503,飛鳥涼・十川知司,
504,飛鳥涼・JESS Balley,
505,谷村有美,
506,MASAGORO,
507,山田ひろし,
508,上田薫,
509,井上ヨシマサ,
510,松本晃彦,
511,竹花いち子,
512,伊秩弘将,
513,溝口肇,
514,戸沢暢美,
515,西脇辰弥,
516,谷村有美・あさくらせいら,
517,谷村有美・戸沢暢美,
518,小西康陽,
519,神沢礼江,
520,遠藤京子,
521,山崎羽咲,
522,"西脇辰弥
西脇辰弥",
523,白峰美津子,
524,柴矢俊彦,
525,"白峰美津子
山崎羽咲",
526,"谷村有美
西脇辰弥",
527,鮎川めぐみ,
528,一色そらん,
529,亀田誠治,
530,石川あゆ子,
531,坂田和子,
